script,category,manuscript_use,primary_outputs,expected_inputs,reproducibility_status,notes
"scripts/python_figure_assembly/rebuild_scientific_data_figure2_qc_final.py","Python assembly","Scientific Data Figure 2","Figure2_QC_final PNG/PDF; optional TIFF","metadata/samples.sequence.stat.xls; metadata/samples.align.stat.xls","Byte-identical PNG/PDF consecutive-run check passed 2026-07-21 with win-64 render lock","Same-layout QC redraw from included sequencing metrics; PDF embeds CID TrueType fonts and omits dynamic creation dates; set GROUPER_WRITE_TIFF=1 only when a TIFF export is required."
"scripts/python_figure_assembly/rebuild_scientific_data_figure3_global_annotation.py","Python assembly","Scientific Data Figure 3","Figure3_global_annotation_final PNG/PDF; optional TIFF","Fig3 UMAP source images; Fig3_global_marker_dotplot_source.csv","Byte-identical PNG/PDF consecutive-run check passed 2026-07-21 with win-64 render lock","Panel c reads percent_expressed and average_expression_scaled directly; global layer uses Leukocytes; PDF embeds CID TrueType fonts; set GROUPER_WRITE_TIFF=1 only when a TIFF export is required."
"scripts/python_figure_assembly/rebuild_scientific_data_figure4_immune_reclustering.py","Python assembly","Scientific Data Figure 4","Figure4_immune_reclustering_final PNG/PDF; optional TIFF","Fig4_immune_umap_coordinates.csv; Fig4_immune_marker_dotplot_source.csv; Fig4_immune_marker_features_used.csv","Byte-identical PNG/PDF consecutive-run check passed 2026-07-21 with win-64 render lock","Exact immune-branch source redraw with cDC1-like (XCR1+), submitted subtype row order, and embedded CID TrueType PDF fonts; set GROUPER_WRITE_TIFF=1 only when a TIFF export is required."
"scripts/python_figure_assembly/rebuild_scientific_data_figure5_composition.py","Python assembly","Scientific Data Figure 5","Figure5_composition_final PNG/PDF; optional TIFF","included Fig5a/Fig5b source-data CSVs","Byte-identical PNG/PDF consecutive-run check passed 2026-07-21 with win-64 render lock","Read-only by default; panel a uses global Leukocytes and journal-facing pluralized cell-type labels, panel b uses immune subtypes, public COM labels are retained, PDF fonts are embedded, and TIFF output is opt-in via GROUPER_WRITE_TIFF=1."
"scripts/R_analysis/00_reconstruct_global_atlas_from_10x.R","R core analysis","Scientific Data Figure 3 and Figure 5a provenance","global atlas RDS; marker table; UMAP sources; Figure 5a composition","GROUPER_10X_ROOT with folders in metadata/tenx_sample_sheet.csv","Full raw 10x rerun passed 2026-07-11","Exact run requires Seurat 5.3.0, SeuratObject 5.2.0, harmony 1.2.3, original merge order, and orig.ident Harmony variable; 0 cell-level cluster mismatches."
"scripts/R_analysis/00b_export_final_global_source_data.R","R final-object export","Scientific Data Figure 3 and Figure 5a exact processed source","final per-cell UMAP/annotation CSV.GZ; UMAP source images; Figure 5a composition","GROUPER_FINAL_GLOBAL_RDS pointing to final annotated global object","Executed successfully 2026-07-11; exported files included","Preserves exact historical UMAP coordinates while publicizing COM labels and global Leukocytes."
"scripts/R_analysis/00c_validate_final_object_against_10x.R","R provenance validation","Raw 10x to final global object","exact sparse-count and per-sample validation CSVs","GROUPER_10X_ROOT; GROUPER_FINAL_GLOBAL_RDS","Executed successfully 2026-07-11; all checks passed","Validated 23740 features, 102036 cell IDs, and exact Dim/i/p/x sparse RNA count slots."
"scripts/R_analysis/00d_assess_doublets_scDblFinder.R","R doublet assessment","All 102036 nuclei and the 10440-to-5061 immune transition","merged per-cell scDblFinder calls; summary and enrichment CSVs","GLOBAL_ATLAS_harmony_res0.4.rds; IMMUNE_INITIAL_harmony_res0.2.rds; included Figure 4 per-cell table","Executed successfully 2026-07-11; outputs included","Runs cluster-aware and random sensitivity modes separately by capture library with fixed seeds; calls are validation diagnostics, not automatic deletions."
"scripts/R_analysis/01_reconstruct_immune_final_object.R","R core analysis","Scientific Data Figure 4 and Figure 5b provenance","initial and final immune reclustering objects; subtype counts","GLOBAL_LEUKOCYTES_subset_for_reclustering.rds from script 00; optional preclustered IMMUNEbaicell compatibility input","Full raw-global-to-immune rerun passed 2026-07-11","Exact run requires Seurat 5.3.0, SeuratObject 5.2.0, harmony 1.2.3; reproduces initial immune clusters and final 5061-cell annotations/UMAP exactly."
"scripts/R_analysis/01b_audit_immune_filtering_10440_to_5061.R","R provenance validation","Immune filtering and Figure 4 final-object identity","cell fate ledger; stage marker/QC/doublet summaries; final identity checks","raw-derived global Leukocytes subset; merged doublet calls; included Figure 4 per-cell table","Executed successfully 2026-07-12; outputs included","Audits four cluster-level exclusions and proves the 5061-cell final set, labels, and UMAP coordinates match the deposited Figure 4 source."
"scripts/R_analysis/02b_scientific_data_global_leukocyte_update.R","R source-data synchronization","Scientific Data Figure 3; Table 2; Table 3; Figure 5","global/leukocyte annotation tables and marker-panel CSV","included source-data CSVs","Runnable; syntax checked 2026-07-11","Maintains global Leukocytes and separate leukocyte-reclustering subtype logic."
"scripts/R_analysis/02c_export_scientific_data_figure4_source_data.R","R source-data export","Scientific Data Figure 4 and Figure 5b","Figure 4 coordinate/dotplot tables; Figure 5b composition","GROUPER_IMMUNE_FINAL_RDS or outputs/immune_final_reconstruction/IMMUNE_FINAL_annotated_with_Bcell.rds","Executed on exact raw-derived immune object 2026-07-11; exports included","Exports public COM cell IDs; Figure 5b counts exactly match the Figure 4 per-cell table."
"scripts/audit_reference_provenance.py","Python provenance validation","Cell Ranger settings and custom-reference source audit","cellranger_run_metadata.csv; reference source/feature audit tables; ordered reference feature list","eight Cell Ranger HTML reports; eight genes.tsv files; project nuclear FASTA/GFF3; NCBI NC_021614.1 FASTA/GFF3","Executed successfully 2026-07-12; outputs included","Uses only the Python standard library; verifies report hashes/settings, 26,121 nuclear gene IDs, 13 mitochondrial genes, GFF-to-FASTA coordinates, and the 26,134-to-23,740 feature-stage distinction."
"scripts/validate_release_package.py","Python validation","Release-wide automated audit","console pass/fail report","included metadata, source data, tables, scripts, and optional Figure 2-5 execution","Runnable with Python standard library; full mode checked 2026-07-14","Checks file hashes, 102036 global cells, 5061 immune cells, Figure 5 count closure, annotation layers, syntax, strict render environment, canvases, all four final manuscript PNG/PDF hashes, PDF fonts/metadata, and source immutability."
"scripts/validate_submission_artifacts.py","Python validation","Final manuscript and supplementary-table consistency","console pass/fail report; optional CSV report","final Scientific_Data.docx and/or Supplementary_Tables_S1-S4.xlsx plus included release data","Runnable with pinned python-docx and openpyxl; checked 2026-07-12","Checks Figure 2-5 embedded hashes, manuscript numeric statements and labels, Table 1, supplement accessions/counts/software, worksheet structure, feature-stage wording, and cross-file closure."
"environment/install_exact_r_packages.R","R environment setup","Exact global raw reconstruction","repository-local .r-library","CRAN access; R build toolchain when source compilation is required","Syntax checked 2026-07-11","Installs SeuratObject 5.2.0, harmony 1.2.3, and Seurat 5.3.0 without replacing the user's default library."
"environment/install_doublet_r_packages.R","R environment setup","Exact scDblFinder assessment","repository-local .r-library-doublet","CRAN/Bioconductor access; R build toolchain when source compilation is required","Syntax checked 2026-07-12","Installs and validates the exact R and Bioconductor package versions used for the deposited doublet calls."
"scripts/python_figure_assembly/rebuild_scientific_data_supplementary_figures.py","Python assembly","Scientific Data Supplementary Figures S1-S3","S1-S3 SVG/PDF/600 dpi PNG; optional QA hash table","included S1 QC; final Figure 3 UMAP; Figure 5a composition; S3 pseudobulk correlation","Byte-identical consecutive-run check passed 2026-07-21","Uses editable SVG text, embedded PDF TrueType fonts, fixed SVG hashsalt, no dynamic PDF creation date, and writes the standalone hash table only with --write-hash-table."
"scripts/prepare_supplement_source_data.py","Python source-data preparation","Supplementary Figure S1 provenance","102036-row public QC table and eight-library summary","historical per-cell QC inventory; included final Figure 3 UMAP table","Executed successfully 2026-07-14; outputs included","Converts legacy CON IDs to public COM IDs and requires exact one-to-one closure to the final retained cell set."
"scripts/R_analysis/03_export_supplementary_pseudobulk_source.R","R source-data export","Supplementary Figure S3 pseudobulk validation","23738-feature logCPM matrix; 8x8 Pearson matrix; parameter table","final annotated global RDS; included final Figure 3 UMAP table","Executed successfully 2026-07-14; outputs included","Aggregates raw RNA counts by capture library and computes log2(CPM + 1) Pearson correlations without nucleus-level pseudoreplication."
